post_id,language,platform,medium,url
FR01,fr,instagram,organic-social,https://getaiassistant.app/?utm_source=instagram&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=fr-reel-01#diagnosis
FR02,fr,facebook,organic-social,https://getaiassistant.app/?utm_source=facebook&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=fr-carousel-02#diagnosis
FR03,fr,facebook,organic-social,https://getaiassistant.app/?utm_source=facebook&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=fr-static-03#method
FR04,fr,instagram,organic-social,https://getaiassistant.app/?utm_source=instagram&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=fr-reel-04#diagnosis
FR05,fr,instagram,organic-social,https://getaiassistant.app/?utm_source=instagram&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=fr-carousel-05#diagnosis
FR06,fr,facebook,organic-social,https://getaiassistant.app/?utm_source=facebook&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=fr-reel-06#diagnosis
FR07,fr,instagram,organic-social,https://getaiassistant.app/?utm_source=instagram&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=fr-static-07#diagnosis
FR08,fr,facebook,organic-social,https://getaiassistant.app/?utm_source=facebook&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=fr-carousel-08#diagnosis
EN01,en,instagram,organic-social,https://getaiassistant.app/en/?utm_source=instagram&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=en-reel-01#diagnosis
EN02,en,facebook,organic-social,https://getaiassistant.app/en/?utm_source=facebook&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=en-carousel-02#diagnosis
EN03,en,instagram,organic-social,https://getaiassistant.app/en/?utm_source=instagram&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=en-reel-03#diagnosis
EN04,en,facebook,organic-social,https://getaiassistant.app/en/?utm_source=facebook&utm_medium=organic-social&utm_campaign=qc-smb-ai-diagnostic-2026q3&utm_content=en-static-04#diagnosis
